timestamp,price,z,vr,vel,in_pos,direction,tier,bars_held,pnl,peak,contracts,event
1775800975,25259.75,-0.6646,0.2600,-5.00,1,short,FADE_AGAINST,3,14.0,9.0,2,
1775800980,25259.75,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,14.0,9.0,3,CHAIN_ENTRY_RIDE_AGAINST
1775800985,25260.00,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,12.5,9.0,3,
1775800990,25259.00,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,18.5,9.0,3,
1775800995,25257.50,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,27.5,9.0,3,
1775801000,25258.75,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,20.0,9.0,3,
1775801005,25256.50,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,33.5,10.5,3,
1775801010,25257.00,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,30.5,10.5,3,
1775801015,25257.75,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,26.0,10.5,3,
1775801020,25256.50,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,33.5,10.5,3,
1775801025,25255.75,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,38.0,12.0,3,
1775801030,25256.25,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,35.0,12.0,3,
1775801035,25256.75,-1.2244,0.3584,-2.75,1,short,FADE_AGAINST,4,32.0,12.0,3,
1775801040,25257.00,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,30.5,12.0,4,CHAIN_ENTRY_RIDE_AGAINST
1775801045,25257.00,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,30.5,12.0,4,
1775801050,25256.75,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,32.5,12.0,4,
1775801055,25256.25,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,36.5,12.0,4,
1775801060,25257.00,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,30.5,12.0,4,
1775801065,25256.75,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,32.5,12.0,4,
1775801070,25256.75,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,32.5,12.0,4,
1775801075,25257.75,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,24.5,12.0,4,
1775801080,25257.25,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,28.5,12.0,4,
1775801085,25255.75,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,40.5,12.0,4,
1775801090,25257.00,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,30.5,12.0,4,
1775801095,25256.50,-0.7913,0.4000,-0.25,1,short,FADE_AGAINST,5,34.5,12.0,4,
1775801100,25256.75,-0.5546,0.4431,-0.75,1,short,FADE_AGAINST,6,32.5,12.0,4,
1775801105,25259.00,-0.5546,0.4431,-0.75,1,short,FADE_AGAINST,6,14.5,12.0,4,
